2005   1    5.45     1.3   187.0
2005  61    5.46     1.3   191.5
2005 121    5.46     1.3   196.0
2005 181    5.45     1.3   200.6
2005 241    5.45     1.3   205.1
2005 301    5.45     1.2   209.6
2005 361    5.44     1.2   214.2
2006  56    5.43     1.2   218.8
2006 116    5.42     1.1   223.3
2006 176    5.41     1.0   227.9
2006 236    5.40     1.0   232.5
2006 296    5.38     0.9   237.2
2006 356    5.37     0.8   241.8
2007  51    5.35     0.7   246.5
2007 111    5.33     0.6   251.3
2007 171    5.31     0.5   256.0
2007 231    5.29     0.4   260.8
2007 291    5.27     0.3   265.6
2007 351    5.25     0.2   270.5
2008  46    5.23     0.1   275.4
2008 106    5.21     0.0   280.4
2008 166    5.19    -0.1   285.3
2008 226    5.16    -0.2   290.4
2008 286    5.14    -0.3   295.5
2008 346    5.12    -0.4   300.6
2009  40    5.10    -0.5   305.7
2009 100    5.08    -0.7   310.9
2009 160    5.06    -0.8   316.2
2009 220    5.04    -0.8   321.5
2009 280    5.02    -0.9   326.8
2009 340    5.01    -1.0   332.1
2010  35    5.00    -1.1   337.5
2010  95    4.98    -1.2   343.0
2010 155    4.97    -1.2   348.4
2010 215    4.96    -1.2   353.9
2010 275    4.96    -1.3   359.3
2010 335    4.95    -1.3     4.8
2011  30    4.95    -1.3    10.3
2011  90    4.95    -1.3    15.8
2011 150    4.95    -1.3    21.4
2011 210    4.95    -1.3    26.8
2011 270    4.96    -1.2    32.3
2011 330    4.97    -1.2    37.8
2012  25    4.98    -1.1    43.3
2012  85    4.99    -1.0    48.7
2012 145    5.00    -1.0    54.1
2012 205    5.02    -0.9    59.5
2012 265    5.03    -0.8    64.8
2012 325    5.05    -0.7    70.1
2013  19    5.07    -0.6    75.4
2013  79    5.09    -0.5    80.6
2013 139    5.11    -0.3    85.8
2013 199    5.13    -0.2    91.0
2013 259    5.15    -0.1    96.1
2013 319    5.17     0.0   101.1
2014  14    5.20     0.1   106.1
2014  74    5.22     0.2   111.1
2014 134    5.24     0.3   116.0
2014 194    5.26     0.4   120.9
2014 254    5.28     0.5   125.8
2014 314    5.30     0.6   130.6
2015   9    5.32     0.7   135.4
2015  69    5.34     0.8   140.1
2015 129    5.36     0.9   144.8
2015 189    5.37     1.0   149.5
2015 249    5.39     1.0   154.1
2015 309    5.40     1.1   158.8
2016   4    5.42     1.2   163.4
2016  64    5.43     1.2   168.0
2016 124    5.44     1.2   172.5
2016 184    5.44     1.3   177.1
2016 244    5.45     1.3   181.6
